ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value
71024,Foggia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,72935
72006,Bari,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,151524
74001,Brindisi,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,40513
75035,Lecce,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,44437
110001,Andria,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,48621
110002,Barletta,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,46300
75002,Alessano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3004
75003,Alezio,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2716
75004,Alliste,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3132
72004,Altamura,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,34331
75005,Andrano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2262
71004,Apricena,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6325
75006,Aradeo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4342
75008,Bagnolo del Salento,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,884
73027,Taranto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,91215
110009,Trani,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,27357
71001,Accadia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1079
72001,Acquaviva delle Fonti,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9776
72002,Adelfia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,8173
72003,Alberobello,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5142
71002,Alberona,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,433
71003,Anzano di Puglia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,557
75007,Arnesano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1982
71005,Ascoli Satriano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3054
73001,Avetrana,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3088
71006,Biccari,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1319
72008,Binetto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1106
110003,Bisceglie,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,27112
72010,Bitetto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5887
72011,Bitonto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,25889
72012,Bitritto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5551
75009,Botrugno,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1265
71007,Bovino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1531
75011,Campi Salentina,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4745
71009,Candela,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1331
75013,Caprarica di Lecce,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1139
72014,Capurso,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,7487
75015,Carpignano Salentino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1842
71012,Carpino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1969
71013,Casalnuovo Monterotaro,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,696
71008,Cagnano Varano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3401
75010,Calimera,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3199
75012,Cannole,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,837
110004,Canosa di Puglia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,14250
71010,Carapelle,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3268
71011,Carlantino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,457
75014,Carmiano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5717
73002,Carosino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3303
74002,Carovigno,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,8636
71014,Casalvecchio di Puglia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,860
72015,Casamassima,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9569
75016,Casarano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9353
72016,Cassano delle Murge,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,7223
72017,Castellana Grotte,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9343
73003,Castellaneta,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,8034
71015,Castelluccio dei Sauri,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1021
71016,Castelluccio Valmaggiore,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,596
71017,Castelnuovo della Daunia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,657
75017,Castri di Lecce,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1382
75018,Castrignano de' Greci,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1821
75019,Castrignano del Capo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2491
75096,Castro,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1101
75020,Cavallino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6050
74003,Ceglie Messapica,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9163
74004,Cellino San Marco,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3012
71020,Cerignola,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,27399
72019,Conversano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,12724
75022,Copertino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,11402
72020,Corato,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,23167
75023,Corigliano d'Otranto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2683
73004,Crispiano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6532
74006,Erchie,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4094
73006,Fragagnano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2457
74008,Francavilla Fontana,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,17150
71018,Celenza Valfortore,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,712
72018,Cellamare,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2808
71019,Celle di San Vito,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,84
71021,Chieuti,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,795
74005,Cisternino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5494
75024,Corsano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2626
75025,Cursi,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1953
75026,Cutrofiano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4182
71022,Deliceto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1802
75027,Diso,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1390
71023,Faeto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,299
73005,Faggiano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1687
74007,Fasano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,19001
75028,Gagliano del Capo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2461
75029,Galatina,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,12524
75030,Galatone,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,7289
75031,Gallipoli,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9824
73007,Ginosa,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,10829
72021,Gioia del Colle,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,13284
72022,Giovinazzo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9439
75032,Giuggianello,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,566
75033,Giurdignano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,950
72023,Gravina in Puglia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,21302
73008,Grottaglie,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,15088
72024,Grumo Appula,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6233
75034,Guagnano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2681
73009,Laterza,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,7355
74009,Latiano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6767
73010,Leporano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4043
75036,Lequile,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4163
71028,Lucera,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,15677
75039,Maglie,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6528
71025,Ischitella,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2150
71026,Isole Tremiti,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,265
71027,Lesina,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3098
75037,Leverano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6769
75038,Lizzanello,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5700
73011,Lizzano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4767
72025,Locorotondo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6874
73012,Manduria,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,14679
71029,Manfredonia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,27568
110005,Margherita di Savoia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5576
75040,Martano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4207
75041,Martignano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,792
73013,Martina Franca,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,23030
73014,Maruggio,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2617
73015,Massafra,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,15780
75042,Matino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5414
71031,Mattinata,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3025
75043,Melendugno,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4867
75044,Melissano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3311
75045,Melpignano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1060
74010,Mesagne,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,12370
72028,Mola di Bari,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,12245
72029,Molfetta,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,28197
72030,Monopoli,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,23441
71033,Monte Sant'Angelo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5763
71032,Monteleone di Puglia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,500
75048,Monteroni di Lecce,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,6632
75049,Montesano Salentino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1271
75050,Morciano di Leuca,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1455
72031,Noci,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9037
75054,Nociglia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1022
72032,Noicattaro,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,12907
75055,Novoli,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3680
71063,Ordona,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1430
74011,Oria,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,7177
71035,Orsara di Puglia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1278
71036,Orta Nova,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,8441
75056,Ortelle,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1132
74012,Ostuni,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,14703
75057,Otranto,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2818
73020,Palagianello,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3703
72033,Palo del Colle,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,10297
75046,Miggiano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1601
75047,Minervino di Lecce,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1666
110006,Minervino Murge,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4194
72027,Modugno,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,18339
73016,Monteiasi,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2663
73017,Montemesola,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1823
73018,Monteparano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1132
71034,Motta Montecorvino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,322
73019,Mottola,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,7637
75051,Muro Leccese,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2337
75052,Nardò,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,14660
75053,Neviano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2400
73021,Palagiano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,7932
75058,Palmariggi,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,711
71037,Panni,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,354
75059,Parabita,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4195
75060,Patù,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,777
71038,Peschici,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2168
71039,Pietramontecorvino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1265
75061,Poggiardo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2817
71040,Poggio Imperiale,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1287
72034,Poggiorsini,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,690
72035,Polignano a Mare,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,8623
75097,Porto Cesareo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3138
75063,Racale,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5245
71041,Rignano Garganico,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,924
73023,Roccaforzata,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,884
71046,San Giovanni Rotondo,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,13105
73022,Pulsano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,5611
72036,Putignano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,12748
71042,Rocchetta Sant'Antonio,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,862
71043,Rodi Garganico,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,1733
71044,Roseto Valfortore,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,501
75064,Ruffano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,4560
72037,Rutigliano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,9091
72038,Ruvo di Puglia,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,12166
75065,Salice Salentino,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3867
75066,Salve,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2166
72039,Sammichele di Bari,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3020
75095,San Cassiano,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,987
75068,San Cesario di Lecce,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3794
74013,San Donaci,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,3052
75069,San Donato di Lecce,JAN,popolazione al 1º gennaio,1,maschi,TOTAL,totale,99,totale,2020,2020,2584
