ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value
71016,Castelluccio Valmaggiore,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,644
75017,Castri di Lecce,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1423
75018,Castrignano de' Greci,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1958
75019,Castrignano del Capo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2716
75096,Castro,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1238
75020,Cavallino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6536
74004,Cellino San Marco,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3321
71020,Cerignola,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,27925
72019,Conversano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13159
75022,Copertino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,12092
72020,Corato,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,24383
75023,Corigliano d'Otranto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3016
73004,Crispiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6730
74006,Erchie,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4299
71017,Castelnuovo della Daunia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,694
74003,Ceglie Messapica,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,10078
71018,Celenza Valfortore,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,767
72018,Cellamare,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2914
71019,Celle di San Vito,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,79
71021,Chieuti,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,806
74005,Cisternino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5863
75024,Corsano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2652
75025,Cursi,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2046
75026,Cutrofiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4616
71022,Deliceto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1842
75027,Diso,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1516
71023,Faeto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,312
73005,Faggiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1768
74007,Fasano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,20024
73006,Fragagnano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2638
74008,Francavilla Fontana,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,18347
75028,Gagliano del Capo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2593
75029,Galatina,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13677
75030,Galatone,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7856
75031,Gallipoli,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,10417
73007,Ginosa,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,10939
72021,Gioia del Colle,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13830
72022,Giovinazzo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,10085
75032,Giuggianello,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,589
75033,Giurdignano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,985
73008,Grottaglie,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,16101
72024,Grumo Appula,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6145
75034,Guagnano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2897
73009,Laterza,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7588
74009,Latiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7178
75036,Lequile,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4413
71028,Lucera,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,16517
75039,Maglie,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7365
72023,Gravina in Puglia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,21617
71025,Ischitella,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2192
71026,Isole Tremiti,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,187
73010,Leporano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4005
71027,Lesina,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3127
75037,Leverano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7112
75038,Lizzanello,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5986
73011,Lizzano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4965
72025,Locorotondo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7232
73012,Manduria,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,15568
71029,Manfredonia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,27949
110005,Margherita di Savoia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5828
75040,Martano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4578
75041,Martignano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,812
73013,Martina Franca,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,24783
73014,Maruggio,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2620
73015,Massafra,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,16283
75042,Matino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5810
71031,Mattinata,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3102
75043,Melendugno,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,5065
75044,Melissano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3570
75045,Melpignano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1121
72028,Mola di Bari,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,12517
72029,Molfetta,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,29948
72030,Monopoli,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,24660
71033,Monte Sant'Angelo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,6091
73016,Monteiasi,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2829
71032,Monteleone di Puglia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,473
75048,Monteroni di Lecce,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7041
75049,Montesano Salentino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1351
75050,Morciano di Leuca,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1698
72031,Noci,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,9614
75054,Nociglia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1169
72032,Noicattaro,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13130
75055,Novoli,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4056
71063,Ordona,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1406
74011,Oria,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7663
71035,Orsara di Puglia,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1292
71036,Orta Nova,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,8609
